Timestamp,Sensor,Variable,Value
"2015-07-17 10:03:39",SDcard,INFO,0059.csv
"2015-07-17 10:03:44",Arduino,voltage,3641.0000
"2015-07-17 10:03:44",DHT22,ERROR,failed to read
"2015-07-17 10:03:44",Sharp,dust,1.0000
"2015-07-17 10:03:44",Mux,channel_00,820.0000
"2015-07-17 10:03:44",Mux,channel_01,169.0000
"2015-07-17 10:03:44",Mux,channel_02,150.0000
"2015-07-17 10:03:44",Mux,channel_03,2.0000
"2015-07-17 10:03:44",Mux,channel_04,704.0000
"2015-07-17 10:03:44",Mux,channel_05,501.0000
"2015-07-17 10:03:44",Mux,channel_06,587.0000
"2015-07-17 10:03:44",Mux,channel_07,931.0000
"2015-07-17 10:03:44",Mux,channel_08,749.0000
"2015-07-17 10:03:44",Mux,channel_09,81.0000
"2015-07-17 10:03:44",Mux,channel_10,722.0000
"2015-07-17 10:03:44",Mux,channel_11,870.0000
"2015-07-17 10:03:44",Mux,channel_12,0.0000
"2015-07-17 10:03:45",Mux,channel_13,1.0000
"2015-07-17 10:03:45",Mux,channel_14,380.0000
"2015-07-17 10:03:45",Mux,channel_15,206.0000
"2015-07-17 10:03:51",Arduino,voltage,3713.0000
"2015-07-17 10:03:51",DHT22,humidity,33.1000
"2015-07-17 10:03:51",DHT22,temperature,21.6000
"2015-07-17 10:03:51",Sharp,dust,216.0000
"2015-07-17 10:03:51",Mux,channel_00,884.0000
"2015-07-17 10:03:51",Mux,channel_01,232.0000
"2015-07-17 10:03:51",Mux,channel_02,377.0000
"2015-07-17 10:03:51",Mux,channel_03,2.0000
"2015-07-17 10:03:51",Mux,channel_04,733.0000
"2015-07-17 10:03:51",Mux,channel_05,499.0000
"2015-07-17 10:03:52",Mux,channel_06,584.0000
"2015-07-17 10:03:52",Mux,channel_07,968.0000
"2015-07-17 10:03:52",Mux,channel_08,864.0000
"2015-07-17 10:03:52",Mux,channel_09,333.0000
"2015-07-17 10:03:52",Mux,channel_10,702.0000
"2015-07-17 10:03:52",Mux,channel_11,880.0000
"2015-07-17 10:03:52",Mux,channel_12,1.0000
"2015-07-17 10:03:52",Mux,channel_13,1.0000
"2015-07-17 10:03:52",Mux,channel_14,374.0000
"2015-07-17 10:03:52",Mux,channel_15,203.0000
"2015-07-17 10:03:58",Arduino,voltage,3713.0000
"2015-07-17 10:03:58",DHT22,ERROR,failed to read
"2015-07-17 10:03:58",Sharp,dust,281.0000
"2015-07-17 10:03:58",Mux,channel_00,888.0000
"2015-07-17 10:03:59",Mux,channel_01,235.0000
"2015-07-17 10:03:59",Mux,channel_02,461.0000
"2015-07-17 10:03:59",Mux,channel_03,2.0000
"2015-07-17 10:03:59",Mux,channel_04,732.0000
"2015-07-17 10:03:59",Mux,channel_05,497.0000
"2015-07-17 10:03:59",Mux,channel_06,581.0000
"2015-07-17 10:03:59",Mux,channel_07,970.0000
"2015-07-17 10:03:59",Mux,channel_08,884.0000
"2015-07-17 10:03:59",Mux,channel_09,455.0000
"2015-07-17 10:03:59",Mux,channel_10,699.0000
"2015-07-17 10:03:59",Mux,channel_11,881.0000
"2015-07-17 10:03:59",Mux,channel_12,0.0000
"2015-07-17 10:03:59",Mux,channel_13,0.0000
"2015-07-17 10:03:59",Mux,channel_14,377.0000
"2015-07-17 10:03:59",Mux,channel_15,204.0000
"2015-07-17 10:04:05",Arduino,voltage,3827.0000
"2015-07-17 10:04:05",DHT22,humidity,32.9000
"2015-07-17 10:04:05",DHT22,temperature,21.6000
"2015-07-17 10:04:05",Sharp,dust,228.0000
"2015-07-17 10:04:05",Mux,channel_00,896.0000
"2015-07-17 10:04:05",Mux,channel_01,251.0000
"2015-07-17 10:04:05",Mux,channel_02,489.0000
"2015-07-17 10:04:05",Mux,channel_03,2.0000
"2015-07-17 10:04:05",Mux,channel_04,737.0000
"2015-07-17 10:04:05",Mux,channel_05,501.0000
"2015-07-17 10:04:05",Mux,channel_06,584.0000
"2015-07-17 10:04:05",Mux,channel_07,969.0000
"2015-07-17 10:04:05",Mux,channel_08,890.0000
"2015-07-17 10:04:06",Mux,channel_09,505.0000
"2015-07-17 10:04:06",Mux,channel_10,685.0000
"2015-07-17 10:04:06",Mux,channel_11,894.0000
"2015-07-17 10:04:06",Mux,channel_12,0.0000
"2015-07-17 10:04:06",Mux,channel_13,0.0000
"2015-07-17 10:04:06",Mux,channel_14,364.0000
"2015-07-17 10:04:06",Mux,channel_15,197.0000
"2015-07-17 10:04:10",Sinyei,sampletime_ms,31007.0000
"2015-07-17 10:04:10",Sinyei,low_occupancy_duration_us,1886829.0000
"2015-07-17 10:04:10",Sinyei,occupancy_ratio,6.0852
"2015-07-17 10:04:10",Sinyei,concentration,3272.0603
"2015-07-17 10:04:12",Arduino,voltage,3853.0000
"2015-07-17 10:04:12",DHT22,ERROR,failed to read
"2015-07-17 10:04:12",Sharp,dust,226.0000
"2015-07-17 10:04:12",Mux,channel_00,898.0000
"2015-07-17 10:04:12",Mux,channel_01,255.0000
"2015-07-17 10:04:12",Mux,channel_02,499.0000
"2015-07-17 10:04:12",Mux,channel_03,2.0000
"2015-07-17 10:04:12",Mux,channel_04,739.0000
"2015-07-17 10:04:12",Mux,channel_05,501.0000
"2015-07-17 10:04:12",Mux,channel_06,585.0000
"2015-07-17 10:04:12",Mux,channel_07,968.0000
"2015-07-17 10:04:12",Mux,channel_08,891.0000
"2015-07-17 10:04:12",Mux,channel_09,520.0000
"2015-07-17 10:04:12",Mux,channel_10,682.0000
"2015-07-17 10:04:13",Mux,channel_11,901.0000
"2015-07-17 10:04:13",Mux,channel_12,0.0000
"2015-07-17 10:04:13",Mux,channel_13,0.0000
"2015-07-17 10:04:13",Mux,channel_14,362.0000
"2015-07-17 10:04:13",Mux,channel_15,196.0000
"2015-07-17 10:04:18",Arduino,voltage,3853.0000
"2015-07-17 10:04:18",DHT22,humidity,32.7000
"2015-07-17 10:04:18",DHT22,temperature,21.7000
"2015-07-17 10:04:18",Sharp,dust,224.0000
"2015-07-17 10:04:18",Mux,channel_00,896.0000
"2015-07-17 10:04:18",Mux,channel_01,252.0000
"2015-07-17 10:04:19",Mux,channel_02,498.0000
"2015-07-17 10:04:19",Mux,channel_03,2.0000
"2015-07-17 10:04:19",Mux,channel_04,738.0000
"2015-07-17 10:04:19",Mux,channel_05,511.0000
"2015-07-17 10:04:19",Mux,channel_06,587.0000
"2015-07-17 10:04:19",Mux,channel_07,967.0000
"2015-07-17 10:04:19",Mux,channel_08,889.0000
"2015-07-17 10:04:19",Mux,channel_09,515.0000
"2015-07-17 10:04:19",Mux,channel_10,682.0000
"2015-07-17 10:04:19",Mux,channel_11,904.0000
"2015-07-17 10:04:19",Mux,channel_12,0.0000
"2015-07-17 10:04:19",Mux,channel_13,1.0000
"2015-07-17 10:04:19",Mux,channel_14,361.0000
"2015-07-17 10:04:19",Mux,channel_15,196.0000
"2015-07-17 10:04:25",Arduino,voltage,3853.0000
"2015-07-17 10:04:25",DHT22,humidity,32.7000
"2015-07-17 10:04:25",DHT22,temperature,21.7000
"2015-07-17 10:04:25",Sharp,dust,243.0000
"2015-07-17 10:04:25",Mux,channel_00,895.0000
"2015-07-17 10:04:25",Mux,channel_01,248.0000
"2015-07-17 10:04:25",Mux,channel_02,495.0000
"2015-07-17 10:04:25",Mux,channel_03,2.0000
"2015-07-17 10:04:25",Mux,channel_04,736.0000
"2015-07-17 10:04:25",Mux,channel_05,504.0000
"2015-07-17 10:04:25",Mux,channel_06,588.0000
"2015-07-17 10:04:25",Mux,channel_07,966.0000
"2015-07-17 10:04:25",Mux,channel_08,886.0000
"2015-07-17 10:04:25",Mux,channel_09,506.0000
"2015-07-17 10:04:25",Mux,channel_10,682.0000
"2015-07-17 10:04:25",Mux,channel_11,904.0000
"2015-07-17 10:04:25",Mux,channel_12,0.0000
"2015-07-17 10:04:26",Mux,channel_13,0.0000
"2015-07-17 10:04:26",Mux,channel_14,362.0000
"2015-07-17 10:04:26",Mux,channel_15,196.0000
"2015-07-17 10:04:31",Arduino,voltage,3853.0000
"2015-07-17 10:04:31",DHT22,humidity,32.6000
"2015-07-17 10:04:31",DHT22,temperature,21.7000
"2015-07-17 10:04:31",Sharp,dust,233.0000
"2015-07-17 10:04:31",Mux,channel_00,893.0000
"2015-07-17 10:04:31",Mux,channel_01,246.0000
"2015-07-17 10:04:31",Mux,channel_02,491.0000
"2015-07-17 10:04:31",Mux,channel_03,2.0000
"2015-07-17 10:04:32",Mux,channel_04,736.0000
"2015-07-17 10:04:32",Mux,channel_05,507.0000
"2015-07-17 10:04:32",Mux,channel_06,589.0000
"2015-07-17 10:04:32",Mux,channel_07,966.0000
"2015-07-17 10:04:32",Mux,channel_08,883.0000
"2015-07-17 10:04:32",Mux,channel_09,496.0000
"2015-07-17 10:04:32",Mux,channel_10,682.0000
"2015-07-17 10:04:32",Mux,channel_11,906.0000
"2015-07-17 10:04:32",Mux,channel_12,0.0000
"2015-07-17 10:04:32",Mux,channel_13,1.0000
"2015-07-17 10:04:32",Mux,channel_14,361.0000
"2015-07-17 10:04:32",Mux,channel_15,195.0000
"2015-07-17 10:04:37",Arduino,voltage,3853.0000
"2015-07-17 10:04:38",DHT22,humidity,32.5000
"2015-07-17 10:04:38",DHT22,temperature,21.7000
"2015-07-17 10:04:38",Sharp,dust,240.0000
"2015-07-17 10:04:38",Mux,channel_00,892.0000
"2015-07-17 10:04:38",Mux,channel_01,243.0000
"2015-07-17 10:04:38",Mux,channel_02,487.0000
"2015-07-17 10:04:38",Mux,channel_03,2.0000
"2015-07-17 10:04:38",Mux,channel_04,733.0000
"2015-07-17 10:04:38",Mux,channel_05,508.0000
"2015-07-17 10:04:38",Mux,channel_06,588.0000
"2015-07-17 10:04:38",Mux,channel_07,965.0000
"2015-07-17 10:04:38",Mux,channel_08,880.0000
"2015-07-17 10:04:38",Mux,channel_09,487.0000
"2015-07-17 10:04:38",Mux,channel_10,681.0000
"2015-07-17 10:04:38",Mux,channel_11,910.0000
"2015-07-17 10:04:38",Mux,channel_12,0.0000
"2015-07-17 10:04:38",Mux,channel_13,1.0000
"2015-07-17 10:04:38",Mux,channel_14,361.0000
"2015-07-17 10:04:39",Mux,channel_15,196.0000
"2015-07-17 10:04:40",Sinyei,sampletime_ms,30572.0000
"2015-07-17 10:04:40",Sinyei,low_occupancy_duration_us,122002.0000
"2015-07-17 10:04:40",Sinyei,occupancy_ratio,0.3991
"2015-07-17 10:04:40",Sinyei,concentration,207.5983
"2015-07-17 10:04:44",Arduino,voltage,3853.0000
"2015-07-17 10:04:44",DHT22,humidity,32.5000
"2015-07-17 10:04:44",DHT22,temperature,21.7000
"2015-07-17 10:04:44",Sharp,dust,234.0000
"2015-07-17 10:04:44",Mux,channel_00,891.0000
"2015-07-17 10:04:44",Mux,channel_01,241.0000
"2015-07-17 10:04:45",Mux,channel_02,483.0000
"2015-07-17 10:04:45",Mux,channel_03,2.0000
"2015-07-17 10:04:45",Mux,channel_04,736.0000
"2015-07-17 10:04:45",Mux,channel_05,513.0000
"2015-07-17 10:04:45",Mux,channel_06,589.0000
"2015-07-17 10:04:45",Mux,channel_07,964.0000
"2015-07-17 10:04:45",Mux,channel_08,878.0000
"2015-07-17 10:04:45",Mux,channel_09,478.0000
