Raw Signal Value (0-1023): 253.00 - Voltage: 0.82 - Dust Density.02
Raw Signal Value (0-1023): 208.00 - Voltage: 0.67 - Dust Density: 0.01
 (0-1023): 224.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 208.00 - Voltage: 0.67 - Dust Density: 0.01
Raw Signal Value (0-1023): 189.00 - Voltage: 0.61 - Dust Density: 0.00
Raw Signal Value (0-1023): 243.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 245.00 - Voltage: 0.79 - Dust Density: 0.03
Raw Signal Value (0-1023): 212.00 - Voltage: 0.68 - Dust Density: 0.02
Raw Signal Value (0-1023): 256.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 243.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 235.00 - Voltage: 0.76 - Dust Density: 0.03
Raw Signal Value (0-1023): 220.00 - Voltage: 0.71 - Dust Density: 0.02
Raw Signal Value (0-1023): 223.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 263.00 - Voltage: 0.85 - Dust Density: 0.04
Raw Signal Value (0-1023): 228.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 277.00 - Voltage: 0.89 - Dust Density: 0.05
Raw Signal Value (0-1023): 255.00 - Voltage: 0.82 - Dust Density: 0.04
Raw Signal Value (0-1023): 269.00 - Voltage: 0.87 - Dust Density: 0.05
Raw Signal Value (0-1023): 248.00 - Voltage: 0.80 - Dust Density: 0.04
Raw Signal Value (0-1023): 222.00 - Voltage: 0.72 - Dust Density: 0.02
Raw Signal Value (0-1023): 226.00 - Voltage: 0.73 - Dust Density: 0.02
Raw Signal Value (0-1023): 213.00 - Voltage: 0.69 - Dust Density: 0.02
Raw Signal Value (0-1023): 241.00 - Voltage: 0.78 - Dust Density: 0.03
Raw Signal Value (0-1023): 247.00 - Voltage: 0.80 - Dust Density: 0.04
Raw Signal Value (0-1023): 257.00 - Voltage: 0.83 - Dust Density: 0.04
Raw Signal Value (0-1023): 247.00 - Voltage: 0.80 - Dust Density: 0.04
Raw Signal Value (0-1023): 231.00 - Voltage: 0.74 - Dust Density: 0.03
